>XM_001388418.3 Aspergillus niger uncharacterized protein (An01g00030), partial mRNA
>XM_059744485.1 Aspergillus niger hypothetical protein (An15g01540), partial mRNA
>XM_059744486.1 Aspergillus niger uncharacterized protein (An15g01550), partial mRNA
>XM_059744487.1 Aspergillus niger uncharacterized protein (An01g12040), partial mRNA
>XM_059744488.1 Aspergillus niger hypothetical protein (An15g01570), partial mRNA
>XM_059744489.1 Aspergillus niger uncharacterized protein (An15g01580), partial mRNA
>XM_059744490.1 Aspergillus niger uncharacterized protein (An15g01590), partial mRNA
>XM_059744491.1 Aspergillus niger uncharacterized protein (An15g01600), partial mRNA
>XM_059744492.1 Aspergillus niger hypothetical protein (An15g01610), partial mRNA
>XM_059744493.1 Aspergillus niger uncharacterized protein (An15g01620), partial mRNA
>XM_059744494.1 Aspergillus niger hypothetical protein (An15g01630), partial mRNA
>XM_059744495.1 Aspergillus niger uncharacterized protein (An15g01640), partial mRNA
>XM_059744496.1 Aspergillus niger uncharacterized protein (An15g01650), partial mRNA
>XM_059744497.1 Aspergillus niger uncharacterized protein (An15g01670), partial mRNA
>XM_059744498.1 Aspergillus niger hypothetical protein (An15g01730), partial mRNA
>XM_059744499.1 Aspergillus niger uncharacterized protein (An15g01740), partial mRNA
>XM_059744500.1 Aspergillus niger uncharacterized protein (An01g12060), partial mRNA
>XM_059744501.1 Aspergillus niger uncharacterized protein (An15g01790), partial mRNA
>XM_059744502.1 Aspergillus niger uncharacterized protein (An15g01800), partial mRNA
>XM_059744503.1 Aspergillus niger uncharacterized protein (An15g01810), partial mRNA
>XM_059744504.1 Aspergillus niger uncharacterized protein (An15g01820), partial mRNA
>XM_059744505.1 Aspergillus niger uncharacterized protein (An15g01870), partial mRNA
>XM_059744506.1 Aspergillus niger hypothetical protein (An01g12070), partial mRNA
>XM_059744507.1 Aspergillus niger uncharacterized protein (An15g01880), partial mRNA
>XM_059744508.1 Aspergillus niger uncharacterized protein (An15g01930), partial mRNA
>XM_059744509.1 Aspergillus niger uncharacterized protein (An15g01950), partial mRNA
>XM_059744510.1 Aspergillus niger hypothetical protein (An01g12080), partial mRNA
>XM_059744511.1 Aspergillus niger uncharacterized protein (An15g01990), partial mRNA
>XM_059744512.1 Aspergillus niger hypothetical protein (An15g02010), partial mRNA
>XM_059744513.1 Aspergillus niger hypothetical protein (An15g02020), partial mRNA
>XM_059744514.1 Aspergillus niger hypothetical protein (An15g02030), partial mRNA
>XM_059744515.1 Aspergillus niger uncharacterized protein (An15g02050), partial mRNA
>XM_059744516.1 Aspergillus niger hypothetical protein (An15g02060), partial mRNA
>XM_059744517.1 Aspergillus niger uncharacterized protein (An01g12090), partial mRNA
>XM_059744518.1 Aspergillus niger uncharacterized protein (An15g02080), partial mRNA
>XM_059744519.1 Aspergillus niger uncharacterized protein (An15g02090), partial mRNA
>XM_059744520.1 Aspergillus niger hypothetical protein (An15g02100), partial mRNA
>XM_059744521.1 Aspergillus niger uncharacterized protein (An15g02110), partial mRNA
>XM_059744522.1 Aspergillus niger uncharacterized protein (An15g02160), partial mRNA
>XM_059744523.1 Aspergillus niger hypothetical protein (An15g02170), partial mRNA
>XM_059744524.1 Aspergillus niger uncharacterized protein (An15g02180), partial mRNA
>XM_059744525.1 Aspergillus niger uncharacterized protein (An15g02210), partial mRNA
>XM_059744526.1 Aspergillus niger hypothetical protein (An15g02220), partial mRNA
>XM_059744527.1 Aspergillus niger hypothetical protein (An15g02230), partial mRNA
>XM_059744528.1 Aspergillus niger hypothetical protein (An15g02240), partial mRNA
>XM_059744529.1 Aspergillus niger hypothetical protein (An15g02250), partial mRNA
>XM_059744530.1 Aspergillus niger hypothetical protein (An15g02260), partial mRNA
>XM_059744531.1 Aspergillus niger uncharacterized protein (An01g12110), partial mRNA
>XM_059744532.1 Aspergillus niger uncharacterized protein (An15g02280), partial mRNA
>XM_059744533.1 Aspergillus niger hypothetical protein (An15g02310), partial mRNA
>XM_059744534.1 Aspergillus niger hypothetical protein (An15g02330), partial mRNA
>XM_059744535.1 Aspergillus niger uncharacterized protein (An15g02390), partial mRNA
>XM_059744536.1 Aspergillus niger uncharacterized protein (An15g02400), partial mRNA
>XM_059744537.1 Aspergillus niger uncharacterized protein (An15g02440), partial mRNA
>XM_059744538.1 Aspergillus niger hypothetical protein (An15g02480), partial mRNA
>XM_059744539.1 Aspergillus niger hypothetical protein (An15g02500), partial mRNA
>XM_059744540.1 Aspergillus niger uncharacterized protein (An15g02510), partial mRNA
>XM_059744541.1 Aspergillus niger hypothetical protein (An15g02530), partial mRNA
>XM_059744542.1 Aspergillus niger uncharacterized protein (An15g02540), partial mRNA
>XM_059744543.1 Aspergillus niger hypothetical protein (An15g02560), partial mRNA
>XM_059744544.1 Aspergillus niger uncharacterized protein (An15g02570), partial mRNA
>XM_059744545.1 Aspergillus niger uncharacterized protein (An15g02580), partial mRNA
>XM_059744546.1 Aspergillus niger uncharacterized protein (An15g02630), partial mRNA
>XM_059744547.1 Aspergillus niger uncharacterized protein (An15g02660), partial mRNA
>XM_059744548.1 Aspergillus niger uncharacterized protein (An15g02670), partial mRNA
>XM_059744549.1 Aspergillus niger uncharacterized protein (An15g02680), partial mRNA
>XM_059744550.1 Aspergillus niger hypothetical protein (An01g12160), partial mRNA
>XM_059744551.1 Aspergillus niger uncharacterized protein (An15g02700), partial mRNA
>XM_059744552.1 Aspergillus niger uncharacterized protein (An15g02720), partial mRNA
>XM_059744553.1 Aspergillus niger uncharacterized protein (An15g02730), partial mRNA
>XM_059744554.1 Aspergillus niger uncharacterized protein (An15g02740), partial mRNA
>XM_059744555.1 Aspergillus niger uncharacterized protein (An15g02780), partial mRNA
>XM_059744556.1 Aspergillus niger uncharacterized protein (An01g01290), partial mRNA
>XM_059744557.1 Aspergillus niger hypothetical protein (An15g02790), partial mRNA
>XM_059744558.1 Aspergillus niger uncharacterized protein (An15g02800), partial mRNA
>XM_059744559.1 Aspergillus niger uncharacterized protein (An15g02810), partial mRNA
>XM_059744560.1 Aspergillus niger uncharacterized protein (An15g02870), partial mRNA
>XM_059744561.1 Aspergillus niger uncharacterized protein (An01g12180), partial mRNA
>XM_059744562.1 Aspergillus niger uncharacterized protein (An15g02890), partial mRNA
>XM_059744563.1 Aspergillus niger uncharacterized protein (An15g02910), partial mRNA
>XM_059744564.1 Aspergillus niger hypothetical protein (An15g02920), partial mRNA
>XM_059744565.1 Aspergillus niger hypothetical protein (An15g02940), partial mRNA
>XM_059744566.1 Aspergillus niger hypothetical protein (An15g02950), partial mRNA
>XM_059744567.1 Aspergillus niger uncharacterized protein (An15g02960), partial mRNA
>XM_059744568.1 Aspergillus niger hypothetical protein (An15g02970), partial mRNA
>XM_059744569.1 Aspergillus niger uncharacterized protein (An01g12190), partial mRNA
>XM_059744570.1 Aspergillus niger hypothetical protein (An15g03000), partial mRNA
>XM_059744571.1 Aspergillus niger uncharacterized protein (An15g03010), partial mRNA
>XM_059744572.1 Aspergillus niger hypothetical protein (An15g03050), partial mRNA
>XM_059744573.1 Aspergillus niger hypothetical protein (An15g03060), partial mRNA
>XM_059744574.1 Aspergillus niger hypothetical protein (An15g03070), partial mRNA
>XM_059744575.1 Aspergillus niger uncharacterized protein (An15g03080), partial mRNA
>XM_059744576.1 Aspergillus niger uncharacterized protein (An15g03100), partial mRNA
>XM_059744577.1 Aspergillus niger hypothetical protein (An15g03110), partial mRNA
>XM_059744578.1 Aspergillus niger hypothetical protein (An15g03120), partial mRNA
>XM_059744579.1 Aspergillus niger hypothetical protein (An15g03130), partial mRNA
>XM_059744580.1 Aspergillus niger hypothetical protein (An15g03160), partial mRNA
>XM_059744581.1 Aspergillus niger hypothetical protein (An15g03170), partial mRNA
>XM_059744582.1 Aspergillus niger hypothetical protein (An15g03180), partial mRNA
>XM_059744583.1 Aspergillus niger uncharacterized protein (An15g03230), partial mRNA
>XM_059744584.1 Aspergillus niger hypothetical protein (An15g03250), partial mRNA
>XM_059744585.1 Aspergillus niger hypothetical protein (An15g03270), partial mRNA
>XM_059744586.1 Aspergillus niger hypothetical protein (An15g03290), partial mRNA
>XM_059744587.1 Aspergillus niger hypothetical protein (An15g03310), partial mRNA
>XM_059744588.1 Aspergillus niger hypothetical protein (An15g03320), partial mRNA
>XM_059744589.1 Aspergillus niger uncharacterized protein (An15g03370), partial mRNA
>XM_059744590.1 Aspergillus niger hypothetical protein (An15g03400), partial mRNA
>XM_059744591.1 Aspergillus niger uncharacterized protein (An15g03420), partial mRNA
>XM_059744592.1 Aspergillus niger hypothetical protein (An15g03430), partial mRNA
>XM_059744593.1 Aspergillus niger hypothetical protein (An15g03440), partial mRNA
>XM_059744594.1 Aspergillus niger uncharacterized protein (An15g03450), partial mRNA
>XM_059744595.1 Aspergillus niger hypothetical protein (An15g03460), partial mRNA
>XM_059744596.1 Aspergillus niger hypothetical protein (An15g03470), partial mRNA
>XM_059744597.1 Aspergillus niger hypothetical protein (An15g03480), partial mRNA
>XM_059744598.1 Aspergillus niger uncharacterized protein (An15g03490), partial mRNA
>XM_059744599.1 Aspergillus niger hypothetical protein (An15g03510), partial mRNA
>XM_059744600.1 Aspergillus niger hypothetical protein (An15g03520), partial mRNA
>XM_059744601.1 Aspergillus niger uncharacterized protein (An15g03550), partial mRNA
>XM_059744602.1 Aspergillus niger hypothetical protein (An15g03560), partial mRNA
>XM_059744603.1 Aspergillus niger uncharacterized protein (An15g03580), partial mRNA
>XM_059744604.1 Aspergillus niger hypothetical protein (An15g03590), partial mRNA
>XM_059744605.1 Aspergillus niger hypothetical protein (An15g03600), partial mRNA
>XM_059744606.1 Aspergillus niger hypothetical protein (An15g03610), partial mRNA
>XM_059744607.1 Aspergillus niger hypothetical protein (An15g03620), partial mRNA
>XM_059744608.1 Aspergillus niger hypothetical protein [truncated ORF] (An15g03630), partial mRNA
>XM_059744609.1 Aspergillus niger hypothetical protein (An15g03640), partial mRNA
>XM_059744610.1 Aspergillus niger hypothetical protein (An15g03660), partial mRNA
>XM_059744611.1 Aspergillus niger hypothetical protein (An01g12260), partial mRNA
>XM_059744612.1 Aspergillus niger hypothetical protein (An15g03690), partial mRNA
>XM_059744613.1 Aspergillus niger hypothetical protein (An15g03700), partial mRNA
>XM_059744614.1 Aspergillus niger uncharacterized protein (An15g03740), partial mRNA
>XM_059744615.1 Aspergillus niger uncharacterized protein (An15g03750), partial mRNA
>XM_059744616.1 Aspergillus niger uncharacterized protein (An15g03760), partial mRNA
>XM_059744617.1 Aspergillus niger uncharacterized protein (An15g03770), partial mRNA
>XM_059744618.1 Aspergillus niger hypothetical protein (An01g01300), partial mRNA
>XM_059744619.1 Aspergillus niger hypothetical protein (An15g03790), partial mRNA
>XM_059744620.1 Aspergillus niger uncharacterized protein (An15g03820), partial mRNA
>XM_059744621.1 Aspergillus niger hypothetical protein (An15g03830), partial mRNA
>XM_059744622.1 Aspergillus niger hypothetical protein (An15g03850), partial mRNA
>XM_059744623.1 Aspergillus niger uncharacterized protein (An15g03860), partial mRNA
>XM_059744624.1 Aspergillus niger hypothetical protein (An15g03870), partial mRNA
>XM_059744625.1 Aspergillus niger hypothetical protein (An15g03880), partial mRNA
>XM_059744626.1 Aspergillus niger hypothetical protein (An15g03890), partial mRNA
>XM_059744627.1 Aspergillus niger uncharacterized protein (An15g03900), partial mRNA
>XM_059744628.1 Aspergillus niger hypothetical protein (An15g03930), partial mRNA
>XM_059744629.1 Aspergillus niger uncharacterized protein (An15g03950), partial mRNA
>XM_059744630.1 Aspergillus niger hypothetical protein (An15g03960), partial mRNA
>XM_059744631.1 Aspergillus niger hypothetical protein (An15g03970), partial mRNA
>XM_059744632.1 Aspergillus niger hypothetical protein (An15g04000), partial mRNA
>XM_059744633.1 Aspergillus niger uncharacterized protein (An15g04010), partial mRNA
>XM_059744634.1 Aspergillus niger hypothetical protein (An15g04020), partial mRNA
>XM_059744635.1 Aspergillus niger uncharacterized protein (An15g04030), partial mRNA
>XM_059744636.1 Aspergillus niger uncharacterized protein (An15g04040), partial mRNA
>XM_059744637.1 Aspergillus niger hypothetical protein (An15g04070), partial mRNA
>XM_059744638.1 Aspergillus niger hypothetical protein (An15g04080), partial mRNA
>XM_059744639.1 Aspergillus niger uncharacterized protein (An15g04110), partial mRNA
>XM_059744640.1 Aspergillus niger uncharacterized protein (An15g04120), partial mRNA
>XM_059744641.1 Aspergillus niger uncharacterized protein (An15g04140), partial mRNA
>XM_059744642.1 Aspergillus niger uncharacterized protein (An15g04160), partial mRNA
>XM_059744643.1 Aspergillus niger uncharacterized protein (An15g04200), partial mRNA
>XM_059744644.1 Aspergillus niger uncharacterized protein (An15g04220), partial mRNA
>XM_059744645.1 Aspergillus niger hypothetical protein (An15g04240), partial mRNA
>XM_059744646.1 Aspergillus niger hypothetical protein (An15g04250), partial mRNA
>XM_059744647.1 Aspergillus niger uncharacterized protein (An15g04270), partial mRNA
>XM_059744648.1 Aspergillus niger uncharacterized protein (An15g04290), partial mRNA
>XM_059744649.1 Aspergillus niger uncharacterized protein (An15g04330), partial mRNA
>XM_059744650.1 Aspergillus niger uncharacterized protein (An15g04370), partial mRNA
>XM_059744651.1 Aspergillus niger uncharacterized protein (An15g04390), partial mRNA
>XM_059744652.1 Aspergillus niger uncharacterized protein (An15g04400), partial mRNA
>XM_059744653.1 Aspergillus niger uncharacterized protein (An15g04410), partial mRNA
>XM_059744654.1 Aspergillus niger uncharacterized protein (An15g04440), partial mRNA
>XM_059744655.1 Aspergillus niger hypothetical protein (An15g04450), partial mRNA
>XM_059744656.1 Aspergillus niger hypothetical protein (An15g04460), partial mRNA
>XM_059744657.1 Aspergillus niger uncharacterized protein (An15g04490), partial mRNA
>XM_059744658.1 Aspergillus niger hypothetical protein (An15g04500), partial mRNA
>XM_059744659.1 Aspergillus niger uncharacterized protein (An15g04510), partial mRNA
>XM_059744660.1 Aspergillus niger uncharacterized protein (An01g12350), partial mRNA
>XM_059744661.1 Aspergillus niger uncharacterized protein (An15g04530), partial mRNA
>XM_059744662.1 Aspergillus niger uncharacterized protein (An15g04540), partial mRNA
>XM_059744663.1 Aspergillus niger hypothetical protein (An15g04560), partial mRNA
>XM_059744664.1 Aspergillus niger uncharacterized protein (An15g04590), partial mRNA
>XM_059744665.1 Aspergillus niger uncharacterized protein (An15g04630), partial mRNA
>XM_059744666.1 Aspergillus niger uncharacterized protein (An15g04660), partial mRNA
>XM_059744667.1 Aspergillus niger uncharacterized protein (An15g04690), partial mRNA
>XM_059744668.1 Aspergillus niger hypothetical protein (An15g04710), partial mRNA
>XM_059744669.1 Aspergillus niger uncharacterized protein (An01g12370), partial mRNA
>XM_059744670.1 Aspergillus niger uncharacterized protein (An15g04720), partial mRNA
>XM_059744671.1 Aspergillus niger uncharacterized protein (An15g04740), partial mRNA
>XM_059744672.1 Aspergillus niger uncharacterized protein (An15g04790), partial mRNA
>XM_059744673.1 Aspergillus niger uncharacterized protein (An15g04820), partial mRNA
>XM_059744674.1 Aspergillus niger hypothetical protein (An01g01310), partial mRNA
>XM_059744675.1 Aspergillus niger hypothetical protein (An15g04840), partial mRNA
>XM_059744676.1 Aspergillus niger uncharacterized protein (An15g04850), partial mRNA
>XM_059744677.1 Aspergillus niger uncharacterized protein (An15g04870), partial mRNA
>XM_059744678.1 Aspergillus niger uncharacterized protein (An15g04900), partial mRNA
>XM_059744679.1 Aspergillus niger uncharacterized protein (An15g04920), partial mRNA
>XM_059744680.1 Aspergillus niger uncharacterized protein (An15g04930), partial mRNA
>XM_059744681.1 Aspergillus niger uncharacterized protein (An15g04950), partial mRNA
>XM_059744682.1 Aspergillus niger uncharacterized protein (An15g04960), partial mRNA
>XM_059744683.1 Aspergillus niger uncharacterized protein (An15g04970), partial mRNA
>XM_059744684.1 Aspergillus niger uncharacterized protein (An15g04980), partial mRNA
>XM_059744685.1 Aspergillus niger uncharacterized protein (An15g04990), partial mRNA
>XM_059744686.1 Aspergillus niger hypothetical protein (An15g05000), partial mRNA
>XM_059744687.1 Aspergillus niger uncharacterized protein (An15g05050), partial mRNA
>XM_059744688.1 Aspergillus niger hypothetical protein (An01g12395), partial mRNA
>XM_059744689.1 Aspergillus niger uncharacterized protein (An15g05110), partial mRNA
>XM_059744690.1 Aspergillus niger uncharacterized protein (An15g05120), partial mRNA
>XM_059744691.1 Aspergillus niger uncharacterized protein (An15g05130), partial mRNA
>XM_059744692.1 Aspergillus niger uncharacterized protein (An15g05160), partial mRNA
>XM_059744693.1 Aspergillus niger hypothetical protein (An15g05180), partial mRNA
>XM_059744694.1 Aspergillus niger hypothetical protein (An15g05190), partial mRNA
>XM_059744695.1 Aspergillus niger uncharacterized protein (An15g05200), partial mRNA
>XM_059744696.1 Aspergillus niger hypothetical protein (An15g05210), partial mRNA
>XM_059744697.1 Aspergillus niger uncharacterized protein (An15g05220), partial mRNA
>XM_059744698.1 Aspergillus niger uncharacterized protein (An15g05240), partial mRNA
>XM_059744699.1 Aspergillus niger uncharacterized protein (An15g05250), partial mRNA
>XM_059744700.1 Aspergillus niger uncharacterized protein (An15g05260), partial mRNA
>XM_059744701.1 Aspergillus niger uncharacterized protein (An15g05290), partial mRNA
>XM_059744702.1 Aspergillus niger hypothetical protein (An15g05300), partial mRNA
>XM_059744703.1 Aspergillus niger hypothetical protein (An15g05330), partial mRNA
>XM_059744704.1 Aspergillus niger hypothetical protein (An15g05340), partial mRNA
>XM_059744705.1 Aspergillus niger hypothetical protein (An15g05380), partial mRNA
>XM_059744706.1 Aspergillus niger hypothetical protein (An15g05390), partial mRNA
>XM_059744707.1 Aspergillus niger hypothetical protein (An15g05430), partial mRNA
>XM_059744708.1 Aspergillus niger uncharacterized protein (An01g12430), partial mRNA
>XM_059744709.1 Aspergillus niger hypothetical protein (An15g05480), partial mRNA
>XM_059744710.1 Aspergillus niger uncharacterized protein (An15g05490), partial mRNA
>XM_059744711.1 Aspergillus niger uncharacterized protein (An15g05500), partial mRNA
>XM_059744712.1 Aspergillus niger uncharacterized protein (An15g05520), partial mRNA
>XM_059744713.1 Aspergillus niger uncharacterized protein (An15g05540), partial mRNA
>XM_059744714.1 Aspergillus niger uncharacterized protein (An15g05560), partial mRNA
>XM_059744715.1 Aspergillus niger uncharacterized protein (An15g05570), partial mRNA
>XM_059744716.1 Aspergillus niger uncharacterized protein (An15g05590), partial mRNA
>XM_059744717.1 Aspergillus niger uncharacterized protein (An15g05600), partial mRNA
>XM_059744718.1 Aspergillus niger hypothetical protein (An15g05620), partial mRNA
>XM_059744719.1 Aspergillus niger uncharacterized protein (An15g05630), partial mRNA
>XM_059744720.1 Aspergillus niger hypothetical protein (An15g05640), partial mRNA
>XM_059744721.1 Aspergillus niger uncharacterized protein (An15g05710), partial mRNA
>XM_059744722.1 Aspergillus niger uncharacterized protein (An15g05720), partial mRNA
>XM_059744723.1 Aspergillus niger uncharacterized protein (An15g05750), partial mRNA
>XM_059744724.1 Aspergillus niger hypothetical protein (An15g05760), partial mRNA
>XM_059744725.1 Aspergillus niger uncharacterized protein (An15g05770), partial mRNA
>XM_059744726.1 Aspergillus niger uncharacterized protein (An15g05780), partial mRNA
>XM_059744727.1 Aspergillus niger uncharacterized protein (An15g05790), partial mRNA
>XM_059744728.1 Aspergillus niger uncharacterized protein (An15g05800), partial mRNA
>XM_059744729.1 Aspergillus niger uncharacterized protein (An15g05820), partial mRNA
>XM_059744730.1 Aspergillus niger hypothetical protein (An15g05830), partial mRNA
>XM_059744731.1 Aspergillus niger uncharacterized protein (An15g05850), partial mRNA
>XM_059744732.1 Aspergillus niger uncharacterized protein (An15g05860), partial mRNA
>XM_059744733.1 Aspergillus niger uncharacterized protein (An15g05870), partial mRNA
>XM_059744734.1 Aspergillus niger uncharacterized protein (An01g01320), partial mRNA
>XM_059744735.1 Aspergillus niger uncharacterized protein (An01g12470), partial mRNA
>XM_059744736.1 Aspergillus niger uncharacterized protein (An15g05880), partial mRNA
>XM_059744737.1 Aspergillus niger uncharacterized protein (An15g05900), partial mRNA
>XM_059744738.1 Aspergillus niger uncharacterized protein (An15g05950), partial mRNA
>XM_059744739.1 Aspergillus niger uncharacterized protein (An15g05980), partial mRNA
>XM_059744740.1 Aspergillus niger hypothetical protein (An15g06000), partial mRNA
>XM_059744741.1 Aspergillus niger uncharacterized protein (An15g06040), partial mRNA
>XM_059744742.1 Aspergillus niger uncharacterized protein (An15g06050), partial mRNA
>XM_059744743.1 Aspergillus niger hypothetical protein (An15g06060), partial mRNA
>XM_059744744.1 Aspergillus niger uncharacterized protein (An15g06070), partial mRNA
>XM_059744745.1 Aspergillus niger uncharacterized protein (An01g12490), partial mRNA
>XM_059744746.1 Aspergillus niger hypothetical protein (An15g06090), partial mRNA
>XM_059744747.1 Aspergillus niger uncharacterized protein (An15g06140), partial mRNA
>XM_059744748.1 Aspergillus niger hypothetical protein (An15g06170), partial mRNA
>XM_059744749.1 Aspergillus niger uncharacterized protein (An15g06190), partial mRNA
>XM_059744750.1 Aspergillus niger uncharacterized protein (An15g06200), partial mRNA
>XM_059744751.1 Aspergillus niger uncharacterized protein (An15g06220), partial mRNA
>XM_059744752.1 Aspergillus niger hypothetical protein (An15g06300), partial mRNA
>XM_059744753.1 Aspergillus niger uncharacterized protein (An15g06310), partial mRNA
>XM_059744754.1 Aspergillus niger uncharacterized protein (An15g06330), partial mRNA
>XM_059744755.1 Aspergillus niger uncharacterized protein (An15g06340), partial mRNA
>XM_059744756.1 Aspergillus niger uncharacterized protein (An15g06370), partial mRNA
>XM_059744757.1 Aspergillus niger uncharacterized protein (An15g06380), partial mRNA
>XM_059744758.1 Aspergillus niger uncharacterized protein (An15g06400), partial mRNA
>XM_059744759.1 Aspergillus niger uncharacterized protein (An15g06450), partial mRNA
>XM_059744760.1 Aspergillus niger uncharacterized protein (An15g06460), partial mRNA
>XM_059744761.1 Aspergillus niger uncharacterized protein (An01g12540), partial mRNA
>XM_059744762.1 Aspergillus niger uncharacterized protein (An15g06500), partial mRNA
>XM_059744763.1 Aspergillus niger hypothetical protein (An15g06510), partial mRNA
>XM_059744764.1 Aspergillus niger hypothetical protein (An15g06520), partial mRNA
>XM_059744765.1 Aspergillus niger hypothetical protein (An15g06530), partial mRNA
>XM_059744766.1 Aspergillus niger uncharacterized protein (An15g06560), partial mRNA
>XM_059744767.1 Aspergillus niger hypothetical protein (An15g06570), partial mRNA
>XM_059744768.1 Aspergillus niger uncharacterized protein (An15g06590), partial mRNA
>XM_059744769.1 Aspergillus niger uncharacterized protein (An15g06600), partial mRNA
>XM_059744770.1 Aspergillus niger hypothetical protein (An15g06610), partial mRNA
>XM_059744771.1 Aspergillus niger hypothetical protein (An15g06620), partial mRNA
>XM_059744772.1 Aspergillus niger hypothetical protein (An15g06630), partial mRNA
>XM_059744773.1 Aspergillus niger hypothetical protein (An15g06640), partial mRNA
>XM_059744774.1 Aspergillus niger uncharacterized protein (An15g06650), partial mRNA
>XM_059744775.1 Aspergillus niger hypothetical protein (An01g12560), partial mRNA
>XM_059744776.1 Aspergillus niger uncharacterized protein (An15g06730), partial mRNA
>XM_059744777.1 Aspergillus niger uncharacterized protein (An15g06750), partial mRNA
>XM_059744778.1 Aspergillus niger uncharacterized protein (An15g06790), partial mRNA
>XM_059744779.1 Aspergillus niger hypothetical protein (An15g06800), partial mRNA
>XM_059744780.1 Aspergillus niger uncharacterized protein (An15g06820), partial mRNA
>XM_059744781.1 Aspergillus niger hypothetical protein (An15g06830), partial mRNA
>XM_059744782.1 Aspergillus niger uncharacterized protein (An15g06840), partial mRNA
>XM_059744783.1 Aspergillus niger uncharacterized protein (An15g06870), partial mRNA
>XM_059744784.1 Aspergillus niger uncharacterized protein (An15g06880), partial mRNA
>XM_059744785.1 Aspergillus niger uncharacterized protein (An01g01330), partial mRNA
>XM_059744786.1 Aspergillus niger hypothetical protein [truncated ORF] (An15g06890), partial mRNA
>XM_059744787.1 Aspergillus niger uncharacterized protein (An15g06910), partial mRNA
>XM_059744788.1 Aspergillus niger hypothetical protein (An15g06930), partial mRNA
>XM_059744789.1 Aspergillus niger uncharacterized protein (An15g06960), partial mRNA
>XM_059744790.1 Aspergillus niger uncharacterized protein (An15g06990), partial mRNA
>XM_059744791.1 Aspergillus niger uncharacterized protein (An15g07000), partial mRNA
>XM_059744792.1 Aspergillus niger hypothetical protein (An15g07010), partial mRNA
>XM_059744793.1 Aspergillus niger hypothetical protein (An15g07020), partial mRNA
>XM_059744794.1 Aspergillus niger uncharacterized protein (An15g07030), partial mRNA
>XM_059744795.1 Aspergillus niger uncharacterized protein (An15g07050), partial mRNA
>XM_059744796.1 Aspergillus niger hypothetical protein (An15g07100), partial mRNA
>XM_059744797.1 Aspergillus niger uncharacterized protein (An15g07130), partial mRNA
>XM_059744798.1 Aspergillus niger hypothetical protein (An15g07170), partial mRNA
>XM_059744799.1 Aspergillus niger hypothetical protein (An15g07180), partial mRNA
>XM_059744800.1 Aspergillus niger uncharacterized protein (An01g12610), partial mRNA
>XM_059744801.1 Aspergillus niger hypothetical protein (An15g07210), partial mRNA
>XM_059744802.1 Aspergillus niger uncharacterized protein (An15g07230), partial mRNA
>XM_059744803.1 Aspergillus niger uncharacterized protein (An15g07270), partial mRNA
>XM_059744804.1 Aspergillus niger hypothetical protein (An15g07280), partial mRNA
>XM_059744805.1 Aspergillus niger uncharacterized protein (An15g07290), partial mRNA
>XM_059744806.1 Aspergillus niger uncharacterized protein (An01g12620), partial mRNA
>XM_059744807.1 Aspergillus niger uncharacterized protein (An15g07300), partial mRNA
>XM_059744808.1 Aspergillus niger uncharacterized protein (An15g07310), partial mRNA
>XM_059744809.1 Aspergillus niger uncharacterized protein (An15g07330), partial mRNA
>XM_059744810.1 Aspergillus niger uncharacterized protein (An15g07340), partial mRNA
>XM_059744811.1 Aspergillus niger uncharacterized protein (An15g07350), partial mRNA
>XM_059744812.1 Aspergillus niger hypothetical protein (An15g07380), partial mRNA
>XM_059744813.1 Aspergillus niger hypothetical protein (An15g07400), partial mRNA
>XM_059744814.1 Aspergillus niger uncharacterized protein (An01g12630), partial mRNA
>XM_059744815.1 Aspergillus niger uncharacterized protein (An15g07470), partial mRNA
>XM_059744816.1 Aspergillus niger uncharacterized protein (An15g07490), partial mRNA
>XM_059744817.1 Aspergillus niger uncharacterized protein (An15g07510), partial mRNA
>XM_059744818.1 Aspergillus niger uncharacterized protein (An15g07530), partial mRNA
>XM_059744819.1 Aspergillus niger hypothetical protein [truncated ORF] (An15g07540), partial mRNA
>XM_059744820.1 Aspergillus niger uncharacterized protein (An15g07600), partial mRNA
>XM_059744821.1 Aspergillus niger hypothetical protein (An15g07610), partial mRNA
>XM_059744822.1 Aspergillus niger hypothetical protein (An15g07620), partial mRNA
>XM_059744823.1 Aspergillus niger uncharacterized protein (An15g07630), partial mRNA
>XM_059744824.1 Aspergillus niger hypothetical protein (An15g07640), partial mRNA
>XM_059744825.1 Aspergillus niger hypothetical protein (An15g07650), partial mRNA
>XM_059744826.1 Aspergillus niger hypothetical protein (An01g12660), partial mRNA
>XM_059744827.1 Aspergillus niger hypothetical protein (An15g07660), partial mRNA
>XM_059744828.1 Aspergillus niger uncharacterized protein (An15g07670), partial mRNA
>XM_059744829.1 Aspergillus niger hypothetical protein (An15g07680), partial mRNA
>XM_059744830.1 Aspergillus niger hypothetical protein (An15g07690), partial mRNA
>XM_059744831.1 Aspergillus niger uncharacterized protein (An15g07710), partial mRNA
>XM_059744832.1 Aspergillus niger uncharacterized protein (An15g07740), partial mRNA
>XM_059744833.1 Aspergillus niger hypothetical protein (An15g07750), partial mRNA
>XM_059744834.1 Aspergillus niger hypothetical protein (An01g12670), partial mRNA
>XM_059744835.1 Aspergillus niger uncharacterized protein (An15g07770), partial mRNA
