>XM_001481341.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_8G00342), partial mRNA
>XM_744977.2 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G03190), partial mRNA
>XM_744978.1 Aspergillus fumigatus Af293 MYB family conidiophore development protein FlbD, putative (AFUA_1G03210), partial mRNA
>XM_744979.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G03220), partial mRNA
>XM_744980.1 Aspergillus fumigatus Af293 ABC multidrug transporter, putative (AFUA_1G03230), partial mRNA
>XM_744981.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G03240), partial mRNA
>XM_744982.1 Aspergillus fumigatus Af293 short chain dehydrogenase/reductase, putative (AFUA_1G03250), partial mRNA
>XM_744983.1 Aspergillus fumigatus Af293 tartrate MFS transporter, putative (AFUA_1G03260), partial mRNA
>XM_744984.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G03270), partial mRNA
>XM_744985.1 Aspergillus fumigatus Af293 MFS alpha-glucoside transporter, putative (AFUA_1G03280), partial mRNA
>XM_744986.1 Aspergillus fumigatus Af293 Myo-inositol transporter 1 (AFUA_1G03290), partial mRNA
>XM_744987.1 Aspergillus fumigatus Af293 carboxylesterase, putative (AFUA_1G03300), partial mRNA
>XM_744988.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G03310), partial mRNA
>XM_744989.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G03320), partial mRNA
>XM_744993.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G03360), partial mRNA
>XM_744994.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G03370), partial mRNA
>XM_744995.1 Aspergillus fumigatus Af293 UDP-N-acetylglucosaminyltransferase (AFUA_1G03380), partial mRNA
>XM_744996.2 Aspergillus fumigatus Af293 60S ribosomal protein uL11 (AFUA_1G03390), partial mRNA
>XM_744997.2 Aspergillus fumigatus Af293 GTPase-activating protein SEC23 (AFUA_1G03400), partial mRNA
>XM_744998.2 Aspergillus fumigatus Af293 DNA primase subunit PRI2 (AFUA_1G03410), partial mRNA
>XM_744999.1 Aspergillus fumigatus Af293 adenylate kinase ADK2 (AFUA_1G03420), partial mRNA
>XM_745000.1 Aspergillus fumigatus Af293 thermonuclease family protein (AFUA_1G03430), partial mRNA
>XM_745001.1 Aspergillus fumigatus Af293 peroxisomal carrier protein, putative (AFUA_1G03440), partial mRNA
>XM_745002.1 Aspergillus fumigatus Af293 calpain-like protease PalBory (AFUA_1G03450), partial mRNA
>XM_745003.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G03460), partial mRNA
>XM_745004.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G03470), partial mRNA
>XM_745005.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G03480), partial mRNA
>XM_745006.2 Aspergillus fumigatus Af293 epimerase/dehydratase family protein, putative (AFUA_1G03490), partial mRNA
>XM_745007.1 Aspergillus fumigatus Af293 DNA topoisomerase 1 (AFUA_1G03500), partial mRNA
>XM_745008.2 Aspergillus fumigatus Af293 F1F0 ATP synthase subunit gamma (AFUA_1G03510), partial mRNA
>XM_745009.1 Aspergillus fumigatus Af293 DnaJ domain protein (AFUA_1G03520), partial mRNA
>XM_745010.2 Aspergillus fumigatus Af293 MFS sugar transporter, putative (AFUA_1G03530), partial mRNA
>XM_745011.1 Aspergillus fumigatus Af293 dual specificity phosphatase catalytic domain protein (AFUA_1G03540), partial mRNA
>XM_745012.1 Aspergillus fumigatus Af293 mitochondrial dihydroxy acid dehydratase, putative (AFUA_1G03550), partial mRNA
>XM_745013.1 Aspergillus fumigatus Af293 peroxisome biosynthesis protein (Peroxin-2), putative (AFUA_1G03560), partial mRNA
>XM_745014.1 Aspergillus fumigatus Af293 acid phosphatase PHOa (AFUA_1G03570), partial mRNA
>XM_745015.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G03580), partial mRNA
>XM_745016.1 Aspergillus fumigatus Af293 importin 11, putative (AFUA_1G03590), partial mRNA
>XM_745017.1 Aspergillus fumigatus Af293 glucan 1,3-beta-glucosidase (AFUA_1G03600), partial mRNA
>XM_745018.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G03610), partial mRNA
>XM_745019.1 Aspergillus fumigatus Af293 vanillin dehydrogenase, putative (AFUA_1G03620), partial mRNA
>XM_745020.1 Aspergillus fumigatus Af293 GPI anchored serine-threonine rich protein (AFUA_1G03630), partial mRNA
>XM_745021.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G03640), partial mRNA
>XM_745022.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G03650), partial mRNA
>XM_745023.1 Aspergillus fumigatus Af293 acid phosphatase, putative (AFUA_1G03660), partial mRNA
>XM_745024.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G03670), partial mRNA
>XM_745025.1 Aspergillus fumigatus Af293 DUF5427 domain-containing protein MTC1 (AFUA_1G03680), partial mRNA
>XM_745026.1 Aspergillus fumigatus Af293 4-carboxymuconolactone decarboxylase family protein (AFUA_1G03690), partial mRNA
>XM_745027.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G03700), partial mRNA
>XM_745028.1 Aspergillus fumigatus Af293 C2H2 finger domain protein, putative (AFUA_1G03710), partial mRNA
>XM_745029.1 Aspergillus fumigatus Af293 UPF0136 domain protein (AFUA_1G03720), partial mRNA
>XM_745030.1 Aspergillus fumigatus Af293 MFS transporter, putative (AFUA_1G03730), partial mRNA
>XM_745031.2 Aspergillus fumigatus Af293 glutamate carboxypeptidase, putative (AFUA_1G03740), partial mRNA
>XM_745032.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G03750), partial mRNA
>XM_745033.1 Aspergillus fumigatus Af293 DUF726 domain protein (AFUA_1G03760), partial mRNA
>XM_745034.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G03770), partial mRNA
>XM_745035.1 Aspergillus fumigatus Af293 C6 finger domain protein, putative (AFUA_1G03780), partial mRNA
>XM_745036.1 Aspergillus fumigatus Af293 mannosylphosphorylation protein (Mnn4), putative (AFUA_1G03790), partial mRNA
>XM_745037.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_1G03800), partial mRNA
>XM_745038.1 Aspergillus fumigatus Af293 oligosaccharyl transferase subunit Dad1, putative (AFUA_1G03810), partial mRNA
>XM_745039.1 Aspergillus fumigatus Af293 mRNA splicing factor RNA helicase (Prp16), putative (AFUA_1G03820), partial mRNA
>XM_745040.1 Aspergillus fumigatus Af293 prefoldin subunit 2, putative (AFUA_1G03830), partial mRNA
>XM_745041.1 Aspergillus fumigatus Af293 CCAAT-binding factor complex subunit HapC (AFUA_1G03840), partial mRNA
>XM_745042.1 Aspergillus fumigatus Af293 C6 transcription factor (AmdR), putative (AFUA_1G03860), partial mRNA
>XM_745044.1 Aspergillus fumigatus Af293 Cut9 interacting protein Scn1, putative (AFUA_1G03870), partial mRNA
>XM_745045.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G03880), partial mRNA
>XM_745046.1 Aspergillus fumigatus Af293 alpha/beta hydrolase, putative (AFUA_1G03890), partial mRNA
>XM_745048.2 Aspergillus fumigatus Af293 Spo7-like protein (AFUA_1G03910), partial mRNA
>XM_745049.2 Aspergillus fumigatus Af293 MCM DNA helicase complex subunit MCM3 (AFUA_1G03920), partial mRNA
>XM_745050.1 Aspergillus fumigatus Af293 translation regulator (Cya5), putative (AFUA_1G03930), partial mRNA
>XM_745051.1 Aspergillus fumigatus Af293 signal recognition particle subunit SRP68 (AFUA_1G03940), partial mRNA
>XM_745052.1 Aspergillus fumigatus Af293 C-22 sterol desaturase erg5 (AFUA_1G03950), partial mRNA
>XM_745053.1 Aspergillus fumigatus Af293 Rhodanese domain protein (AFUA_1G03960), partial mRNA
>XM_745054.1 Aspergillus fumigatus Af293 mitochondrial translation initiation factor IF-2, putative (AFUA_1G03970), partial mRNA
>XM_745057.1 Aspergillus fumigatus Af293 TBC domain protein, putative (AFUA_1G04010), partial mRNA
>XM_745058.1 Aspergillus fumigatus Af293 Yip1 domain family (AFUA_1G04020), partial mRNA
>XM_745063.1 Aspergillus fumigatus Af293 Eukaryotic translation initiation factor eIF-5A (AFUA_1G04070), partial mRNA
>XM_745064.2 Aspergillus fumigatus Af293 GARP complex subunit (Sac2), putative (AFUA_1G04080), partial mRNA
>XM_745065.2 Aspergillus fumigatus Af293 FAD dependent oxidoreductase, putative (AFUA_1G04090), partial mRNA
>XM_745066.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04100), partial mRNA
>XM_745067.2 Aspergillus fumigatus Af293 C2H2 transcription factor, putative (AFUA_1G04110), partial mRNA
>XM_745068.1 Aspergillus fumigatus Af293 coenzyme A transferase, putative (AFUA_1G04120), partial mRNA
>XM_745069.2 Aspergillus fumigatus Af293 FG-GAP repeat protein, putative (AFUA_1G04130), partial mRNA
>XM_745070.2 Aspergillus fumigatus Af293 C6 finger domain protein, putative (AFUA_1G04140), partial mRNA
>XM_745071.1 Aspergillus fumigatus Af293 tartrate dehydrogenase, putative (AFUA_1G04150), partial mRNA
>XM_745072.1 Aspergillus fumigatus Af293 aspartate aminotransferase, putative (AFUA_1G04160), partial mRNA
>XM_745073.1 Aspergillus fumigatus Af293 fungal specific transcription factor, putative (AFUA_1G04170), partial mRNA
>XM_745074.1 Aspergillus fumigatus Af293 polyadenylate-binding protein (AFUA_1G04190), partial mRNA
>XM_745075.1 Aspergillus fumigatus Af293 IQ and HECT domain protein (AFUA_1G04210), partial mRNA
>XM_745076.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G04220), partial mRNA
>XM_745077.1 Aspergillus fumigatus Af293 mitochondrial 54S ribosomal protein mL41 (AFUA_1G04230), partial mRNA
>XM_745078.1 Aspergillus fumigatus Af293 small nucleolar ribonucleoprotein complex subunit Utp14, putatrive (AFUA_1G04240), partial mRNA
>XM_745079.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G04250), partial mRNA
>XM_745080.1 Aspergillus fumigatus Af293 endo-1,3-beta-glucanase Engl1 (AFUA_1G04260), partial mRNA
>XM_745081.2 Aspergillus fumigatus Af293 calcium ion transporter Vcx1, putative (AFUA_1G04270), partial mRNA
>XM_745082.2 Aspergillus fumigatus Af293 mitochondrial 37S ribosomal protein uS7m (AFUA_1G04280), partial mRNA
>XM_745083.1 Aspergillus fumigatus Af293 plasma membrane phosphate transporter Pho87, putative (AFUA_1G04290), partial mRNA
>XM_745084.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04300), partial mRNA
>XM_745085.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G04310), partial mRNA
>XM_745086.1 Aspergillus fumigatus Af293 integral membrane protein, putative (AFUA_1G04315), partial mRNA
>XM_745087.1 Aspergillus fumigatus Af293 40S ribosomal protein eS8 (AFUA_1G04320), partial mRNA
>XM_745088.1 Aspergillus fumigatus Af293 Ser/Thr protein phosphatase family protein (AFUA_1G04330), partial mRNA
>XM_745089.1 Aspergillus fumigatus Af293 guanine nucleotide exchange factor DCK1 (AFUA_1G04340), partial mRNA
>XM_745090.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04350), partial mRNA
>XM_745091.2 Aspergillus fumigatus Af293 GTP-Rho binding exocyst subunit SEC3 (AFUA_1G04360), partial mRNA
>XM_745092.1 Aspergillus fumigatus Af293 ribosome assembly and transport protein Srp40, putative (AFUA_1G04370), partial mRNA
>XM_745093.1 Aspergillus fumigatus Af293 F-box domain protein (AFUA_1G04380), partial mRNA
>XM_745094.2 Aspergillus fumigatus Af293 cytochrome P450 monooxygenase, putative (AFUA_1G04390), partial mRNA
>XM_745095.1 Aspergillus fumigatus Af293 mitochondrial 37S ribosomal protein mS37 (AFUA_1G04400), partial mRNA
>XM_745096.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04410), partial mRNA
>XM_745097.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04420), partial mRNA
>XM_745098.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04430), partial mRNA
>XM_745099.1 Aspergillus fumigatus Af293 proline utilization protein PrnX-like, putative (AFUA_1G04440), partial mRNA
>XM_745100.1 Aspergillus fumigatus Af293 siderophore biosynthesis protein, putative (AFUA_1G04450), partial mRNA
>XM_745101.2 Aspergillus fumigatus Af293 lysyl-tRNA synthetase, putative (AFUA_1G04460), partial mRNA
>XM_745102.1 Aspergillus fumigatus Af293 mitochondrial intermembrane space translocase subunit Tim10, putative (AFUA_1G04470), partial mRNA
>XM_745103.1 Aspergillus fumigatus Af293 Sin3 complex subunit (Stb2), putative (AFUA_1G04480), partial mRNA
>XM_745106.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04510), partial mRNA
>XM_745107.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04520), partial mRNA
>XM_745108.1 Aspergillus fumigatus Af293 60S ribosomal protein eL20 (AFUA_1G04530), partial mRNA
>XM_745109.1 Aspergillus fumigatus Af293 NADH-cytochrome b5 reductase, putative (AFUA_1G04540), partial mRNA
>XM_745110.1 Aspergillus fumigatus Af293 HMG box protein, putative (AFUA_1G04550), partial mRNA
>XM_745111.1 Aspergillus fumigatus Af293 urease Ure (AFUA_1G04560), partial mRNA
>XM_745112.1 Aspergillus fumigatus Af293 DNA repair protein, putative (AFUA_1G04570), partial mRNA
>XM_745113.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04575), partial mRNA
>XM_745114.1 Aspergillus fumigatus Af293 nitrogen permease regulating protein NPR2 (AFUA_1G04580), partial mRNA
>XM_745115.1 Aspergillus fumigatus Af293 histone acetyltransferase NGG1 (AFUA_1G04590), partial mRNA
>XM_745116.1 Aspergillus fumigatus Af293 RING finger domain protein, putative (AFUA_1G04600), partial mRNA
>XM_745117.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04610), partial mRNA
>XM_745118.1 Aspergillus fumigatus Af293 alcohol dehydrogenase, zinc-containing, putative (AFUA_1G04620), partial mRNA
>XM_745119.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G04630), partial mRNA
>XM_745120.1 Aspergillus fumigatus Af293 ubiquitin-protein ligase (Hul4), putative (AFUA_1G04640), partial mRNA
>XM_745122.1 Aspergillus fumigatus Af293 60S ribosomal protein eL15 (AFUA_1G04660), partial mRNA
>XM_745123.1 Aspergillus fumigatus Af293 PSP1 domain protein (AFUA_1G04670), partial mRNA
>XM_745124.1 Aspergillus fumigatus Af293 NifU-related protein (AFUA_1G04680), partial mRNA
>XM_745125.1 Aspergillus fumigatus Af293 HIT finger domain protein, putative (AFUA_1G04690), partial mRNA
>XM_745126.2 Aspergillus fumigatus Af293 Ras guanyl-nucleotide exchange factor RasGEF, putative (AFUA_1G04700), partial mRNA
>XM_745127.1 Aspergillus fumigatus Af293 PP-loop ATPase superfamily protein, putative (AFUA_1G04710), partial mRNA
>XM_745128.1 Aspergillus fumigatus Af293 C-8 sterol isomerase ERG2 (AFUA_1G04720), partial mRNA
>XM_745129.1 Aspergillus fumigatus Af293 endoglucanase, putative (AFUA_1G04730), partial mRNA
>XM_745130.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G04740), partial mRNA
>XM_745131.1 Aspergillus fumigatus Af293 cyclin (Pcl1), putative (AFUA_1G04750), partial mRNA
>XM_745132.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04760), partial mRNA
>XM_745133.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04770), partial mRNA
>XM_745134.1 Aspergillus fumigatus Af293 peroxisomal ABC transporter (PXA1), putative (AFUA_1G04780), partial mRNA
>XM_745135.1 Aspergillus fumigatus Af293 general stress response phosphoprotein phosphatase Psr1/2, putative (AFUA_1G04790), partial mRNA
>XM_745136.1 Aspergillus fumigatus Af293 protein phosphatase PP1 regulatory subunit Sds22, putative (AFUA_1G04800), partial mRNA
>XM_745137.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04810), partial mRNA
>XM_745138.1 Aspergillus fumigatus Af293 D-xylose reductase (Xyl1), putative (AFUA_1G04820), partial mRNA
>XM_745139.1 Aspergillus fumigatus Af293 transcription factor AbaA (AFUA_1G04830), partial mRNA
>XM_745140.1 Aspergillus fumigatus Af293 RNA-binding ribosome biosynthesis protein MRD1 (AFUA_1G04840), partial mRNA
>XM_745141.2 Aspergillus fumigatus Af293 dynein light chain DYN2 (AFUA_1G04850), partial mRNA
>XM_745142.2 Aspergillus fumigatus Af293 rhodopsin family protein (AFUA_1G04860), partial mRNA
>XM_745143.2 Aspergillus fumigatus Af293 urea transporter (Dur3), putative (AFUA_1G04870), partial mRNA
>XM_745144.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04880), partial mRNA
>XM_745145.1 Aspergillus fumigatus Af293 translocon protein Sec61beta, putative (AFUA_1G04890), partial mRNA
>XM_745146.1 Aspergillus fumigatus Af293 proliferating cell nuclear antigen (AFUA_1G04900), partial mRNA
>XM_745147.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04910), partial mRNA
>XM_745148.1 Aspergillus fumigatus Af293 calmodulin-binding protein Sha1, putative (AFUA_1G04920), partial mRNA
>XM_745149.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G04930), partial mRNA
>XM_745150.1 Aspergillus fumigatus Af293 Arf family GTPase SAR1 (AFUA_1G04940), partial mRNA
>XM_745151.1 Aspergillus fumigatus Af293 type 1 serine/threonine-protein phosphatase catalytic subunit GLC7 (AFUA_1G04950), partial mRNA
>XM_745152.1 Aspergillus fumigatus Af293 Leucine Rich Repeat domain protein (AFUA_1G04960), partial mRNA
>XM_745153.1 Aspergillus fumigatus Af293 Patatin-like serine hydrolase, putative (AFUA_1G04970), partial mRNA
>XM_745154.1 Aspergillus fumigatus Af293 RNA polymerase III transcription factor TFIIIC subunit (Tfc4), putative (AFUA_1G04980), partial mRNA
>XM_745155.2 Aspergillus fumigatus Af293 SAM domain protein (AFUA_1G04990), partial mRNA
>XM_745156.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05000), partial mRNA
>XM_745157.1 Aspergillus fumigatus Af293 MFS multidrug transporter, putative (AFUA_1G05010), partial mRNA
>XM_745158.1 Aspergillus fumigatus Af293 sulfate transporter, putative (AFUA_1G05020), partial mRNA
>XM_745160.1 Aspergillus fumigatus Af293 type I HSP40 co-chaperone YDJ1 (AFUA_1G05040), partial mRNA
>XM_745161.1 Aspergillus fumigatus Af293 cytosine deaminase (AFUA_1G05050), partial mRNA
>XM_745162.1 Aspergillus fumigatus Af293 uroporphyrinogen decarboxylase HEM12 (AFUA_1G05060), partial mRNA
>XM_745163.1 Aspergillus fumigatus Af293 tRNA methyltransferase, putative (AFUA_1G05070), partial mRNA
>XM_745164.1 Aspergillus fumigatus Af293 60S ribosomal protein uL10 (AFUA_1G05080), partial mRNA
>XM_745166.1 Aspergillus fumigatus Af293 GARP complex subunit Vps53, putative (AFUA_1G05100), partial mRNA
>XM_745167.1 Aspergillus fumigatus Af293 mRNA export factor mex67 (AFUA_1G05110), partial mRNA
>XM_745168.1 Aspergillus fumigatus Af293 retrograde cargo receptor ERV46 (AFUA_1G05120), partial mRNA
>XM_745169.1 Aspergillus fumigatus Af293 PH domain protein (AFUA_1G05130), partial mRNA
>XM_745170.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05140), partial mRNA
>XM_745171.1 Aspergillus fumigatus Af293 C2H2 transcription factor (TFIIIA), putative (AFUA_1G05150), partial mRNA
>XM_745172.1 Aspergillus fumigatus Af293 DNA-directed RNA polymerase core subunit RPO26 (AFUA_1G05160), partial mRNA
>XM_745173.1 Aspergillus fumigatus Af293 MFS monocarboxylate transporter, putative (AFUA_1G05170), partial mRNA
>XM_745174.1 Aspergillus fumigatus Af293 peptide alpha-N-acetyltransferase complex B subunit NAT3 (AFUA_1G05180), partial mRNA
>XM_745175.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05190), partial mRNA
>XM_745176.2 Aspergillus fumigatus Af293 eukaryotic translation initiation factor 3 subunit EifCa, putative (AFUA_1G05200), partial mRNA
>XM_745177.2 Aspergillus fumigatus Af293 G-protein complex gamma subunit GpgA (AFUA_1G05210), partial mRNA
>XM_745178.1 Aspergillus fumigatus Af293 selenoprotein domain protein (AFUA_1G05220), partial mRNA
>XM_745179.2 Aspergillus fumigatus Af293 3',5'-cyclic-nucleotide phosphodiesterase PDE2 (AFUA_1G05230), partial mRNA
>XM_745180.1 Aspergillus fumigatus Af293 DNA-binding E3 ubiquitin-protein ligase SNT2 (AFUA_1G05240), partial mRNA
>XM_745182.1 Aspergillus fumigatus Af293 DNA-directed DNA polymerase theta, putative (AFUA_1G05260), partial mRNA
>XM_745183.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05270), partial mRNA
>XM_745184.1 Aspergillus fumigatus Af293 CORVET complex membrane-binding subunit VPS8 (AFUA_1G05280), partial mRNA
>XM_745185.1 Aspergillus fumigatus Af293 endo-1,3(4)-beta-glucanase, putative (AFUA_1G05290), partial mRNA
>XM_745186.1 Aspergillus fumigatus Af293 capsular associated protein, putative (AFUA_1G05300), partial mRNA
>XM_745187.1 Aspergillus fumigatus Af293 ribosome biosynthesis protein KRE33 (AFUA_1G05310), partial mRNA
>XM_745188.1 Aspergillus fumigatus Af293 disulfide isomerase, putative (AFUA_1G05320), partial mRNA
>XM_745189.1 Aspergillus fumigatus Af293 F-box domain protein (AFUA_1G05330), partial mRNA
>XM_745190.1 Aspergillus fumigatus Af293 40S ribosomal eS19 domain-containing protein (AFUA_1G05340), partial mRNA
>XM_745191.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05350), partial mRNA
>XM_745192.1 Aspergillus fumigatus Af293 CAIB/BAIF family enzyme (AFUA_1G05360), partial mRNA
>XM_745193.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05370), partial mRNA
>XM_745194.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05380), partial mRNA
>XM_745195.1 Aspergillus fumigatus Af293 mitochondrial ADP,ATP carrier protein (Ant), putative (AFUA_1G05390), partial mRNA
>XM_745196.2 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G05400), partial mRNA
>XM_745197.1 Aspergillus fumigatus Af293 ribosome biogenesis protein Kri1 (AFUA_1G05410), partial mRNA
>XM_745198.1 Aspergillus fumigatus Af293 transcription factor SipA3, putative (AFUA_1G05420), partial mRNA
>XM_745199.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05430), partial mRNA
>XM_745200.1 Aspergillus fumigatus Af293 UDP-galactose transporter HUT1 (AFUA_1G05440), partial mRNA
>XM_745201.1 Aspergillus fumigatus Af293 peptidyl-prolyl cis-trans isomerase (AFUA_1G05450), partial mRNA
>XM_745202.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05460), partial mRNA
>XM_745203.1 Aspergillus fumigatus Af293 3-oxo-5-alpha-steroid 4-dehydrogenase, putative (AFUA_1G05470), partial mRNA
>XM_745205.1 Aspergillus fumigatus Af293 histone deacetylase complex subunit (Hos4), putative (AFUA_1G05490), partial mRNA
>XM_745206.1 Aspergillus fumigatus Af293 40S ribosomal protein eS12 (AFUA_1G05500), partial mRNA
>XM_745207.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05510), partial mRNA
>XM_745208.1 Aspergillus fumigatus Af293 mandelate racemase/muconate lactonizing enzyme family protein (AFUA_1G05520), partial mRNA
>XM_745209.1 Aspergillus fumigatus Af293 uridine-cytidine N-ribohydrolase (AFUA_1G05530), partial mRNA
>XM_745210.1 Aspergillus fumigatus Af293 PXA domain protein (AFUA_1G05540), partial mRNA
>XM_745211.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05550), partial mRNA
>XM_745212.1 Aspergillus fumigatus Af293 GTP-binding protein RBG1 (AFUA_1G05560), partial mRNA
>XM_745213.1 Aspergillus fumigatus Af293 cysteine dioxygenase Cdo1, putative (AFUA_1G05570), partial mRNA
>XM_745214.1 Aspergillus fumigatus Af293 glycogenin (AFUA_1G05580), partial mRNA
>XM_745216.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G05600), partial mRNA
>XM_745217.1 Aspergillus fumigatus Af293 protein phosphatase 2A structural subunit TPD3 (AFUA_1G05610), partial mRNA
>XM_745218.1 Aspergillus fumigatus Af293 phenylalanine--tRNA ligase subunit beta (AFUA_1G05620), partial mRNA
>XM_745219.1 Aspergillus fumigatus Af293 40S ribosomal protein uS3 (AFUA_1G05630), partial mRNA
>XM_745220.1 Aspergillus fumigatus Af293 phosphatidylinositol-3-phosphatase YMR1 (AFUA_1G05640), partial mRNA
>XM_745222.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05660), partial mRNA
>XM_745223.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05670), partial mRNA
>XM_745224.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G05680), partial mRNA
>XM_745225.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05690), partial mRNA
>XM_745226.1 Aspergillus fumigatus Af293 splicing factor 3B subunit 10 (SF3b10), putative (AFUA_1G05700), partial mRNA
>XM_745227.1 Aspergillus fumigatus Af293 tRNA-specific adenosine deaminase (AFUA_1G05710), partial mRNA
>XM_745228.1 Aspergillus fumigatus Af293 c-14 sterol reductase (AFUA_1G05720), partial mRNA
>XM_745229.1 Aspergillus fumigatus Af293 vacuolar sorting receptor (Mrl1), putative (AFUA_1G05730), partial mRNA
>XM_745230.1 Aspergillus fumigatus Af293 C6 transcription factor, putative (AFUA_1G05740), partial mRNA
>XM_745231.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G05745), partial mRNA
>XM_745232.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05750), partial mRNA
>XM_745233.2 Aspergillus fumigatus Af293 metalloid transporter (AFUA_1G05760), partial mRNA
>XM_745234.1 Aspergillus fumigatus Af293 beta-glucosidase, putative (AFUA_1G05770), partial mRNA
>XM_745235.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05780), partial mRNA
>XM_745236.1 Aspergillus fumigatus Af293 GPI anchored serine-rich protein (AFUA_1G05790), partial mRNA
>XM_745237.1 Aspergillus fumigatus Af293 MAP kinase kinase (Mkk2), putative (AFUA_1G05800), partial mRNA
>XM_745238.1 Aspergillus fumigatus Af293 protein transport protein Sec39, putative (AFUA_1G05810), partial mRNA
>XM_745239.2 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05820), partial mRNA
>XM_745240.1 Aspergillus fumigatus Af293 DNA-binding ATPase (AFUA_1G05830), partial mRNA
>XM_745241.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05840), partial mRNA
>XM_745242.1 Aspergillus fumigatus Af293 erythromycin esterase, putative (AFUA_1G05850), partial mRNA
>XM_745243.1 Aspergillus fumigatus Af293 conserved hypothetical protein (AFUA_1G05860), partial mRNA
>XM_745244.1 Aspergillus fumigatus Af293 inositol phospholipid biosynthesis protein Scs3, putative (AFUA_1G05870), partial mRNA
>XM_745245.1 Aspergillus fumigatus Af293 uncharacterized protein (AFUA_1G05880), partial mRNA
