>XM_023605096.1 Rhizopus microsporus ATCC 52813 serine protease (RHIMIDRAFT_10000), mRNA
>XM_023611813.1 Rhizopus microsporus ATCC 52813 cysteine proteinase (RHIMIDRAFT_265353), mRNA
>XM_023611814.1 Rhizopus microsporus ATCC 52813 DnaJ-domain-containing protein (RHIMIDRAFT_265365), mRNA
>XM_023611815.1 Rhizopus microsporus ATCC 52813 acid phosphatase/Vanadium-dependent haloperoxidase (RHIMIDRAFT_265370), mRNA
>XM_023611816.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265373), mRNA
>XM_023611817.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265416), mRNA
>XM_023611818.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265426), partial mRNA
>XM_023611819.1 Rhizopus microsporus ATCC 52813 WD40 repeat-like protein (RHIMIDRAFT_265433), mRNA
>XM_023611820.1 Rhizopus microsporus ATCC 52813 acetyl-CoA synthetase-like protein (RHIMIDRAFT_265453), mRNA
>XM_023611821.1 Rhizopus microsporus ATCC 52813 homoaconitase (RHIMIDRAFT_265458), mRNA
>XM_023611822.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265460), mRNA
>XM_023611823.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265462), mRNA
>XM_023611824.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265501), mRNA
>XM_023611825.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265503), partial mRNA
>XM_023611826.1 Rhizopus microsporus ATCC 52813 SRF-like protein (RHIMIDRAFT_265507), mRNA
>XM_023611827.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265508), mRNA
>XM_023611828.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265514), mRNA
>XM_023611829.1 Rhizopus microsporus ATCC 52813 thioredoxin reductase (RHIMIDRAFT_265536), mRNA
>XM_023611830.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265539), mRNA
>XM_023611831.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265556), mRNA
>XM_023611832.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265581), mRNA
>XM_023611833.1 Rhizopus microsporus ATCC 52813 GatB/YqeY domain-containing protein (RHIMIDRAFT_265590), mRNA
>XM_023611834.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265599), mRNA
>XM_023611835.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265604), mRNA
>XM_023611836.1 Rhizopus microsporus ATCC 52813 RhoGAP-domain-containing protein (RHIMIDRAFT_265629), mRNA
>XM_023611837.1 Rhizopus microsporus ATCC 52813 P-loop containing nucleoside triphosphate hydrolase protein (RHIMIDRAFT_265640), mRNA
>XM_023611838.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265650), mRNA
>XM_023611839.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265667), mRNA
>XM_023611840.1 Rhizopus microsporus ATCC 52813 cytosine-5--methyltransferase (RHIMIDRAFT_265670), mRNA
>XM_023611841.1 Rhizopus microsporus ATCC 52813 small G-protein Ras2 (RHIMIDRAFT_265680), mRNA
>XM_023611842.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265682), partial mRNA
>XM_023611843.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265689), mRNA
>XM_023611844.1 Rhizopus microsporus ATCC 52813 AAA-domain-containing protein (RHIMIDRAFT_265729), mRNA
>XM_023611845.1 Rhizopus microsporus ATCC 52813 citrate transporter (RHIMIDRAFT_265736), mRNA
>XM_023611846.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265740), partial mRNA
>XM_023611847.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265741), mRNA
>XM_023611848.1 Rhizopus microsporus ATCC 52813 AAA-domain-containing protein (RHIMIDRAFT_265753), mRNA
>XM_023611849.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265769), partial mRNA
>XM_023611850.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265770), mRNA
>XM_023611851.1 Rhizopus microsporus ATCC 52813 subtilisin-like protein (RHIMIDRAFT_265774), mRNA
>XM_023611852.1 Rhizopus microsporus ATCC 52813 ARM repeat-containing protein (RHIMIDRAFT_265789), mRNA
>XM_023611853.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265792), mRNA
>XM_023611854.1 Rhizopus microsporus ATCC 52813 P-loop containing nucleoside triphosphate hydrolase protein (RHIMIDRAFT_265802), mRNA
>XM_023611855.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265803), mRNA
>XM_023611856.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265815), partial mRNA
>XM_023611857.1 Rhizopus microsporus ATCC 52813 MFS general substrate transporter (RHIMIDRAFT_265818), mRNA
>XM_023611858.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265820), mRNA
>XM_023611859.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265828), partial mRNA
>XM_023611860.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265829), mRNA
>XM_023611861.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265873), mRNA
>XM_023611862.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265874), mRNA
>XM_023611863.1 Rhizopus microsporus ATCC 52813 nitrogen permease regulator 2 (RHIMIDRAFT_265879), mRNA
>XM_023611864.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_265920), mRNA
>XM_023611865.1 Rhizopus microsporus ATCC 52813 alpha/beta-hydrolase (RHIMIDRAFT_265932), mRNA
>XM_023611866.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266002), mRNA
>XM_023611867.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266003), partial mRNA
>XM_023611868.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266004), mRNA
>XM_023611869.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266005), mRNA
>XM_023611870.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266006), mRNA
>XM_023611871.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266015), mRNA
>XM_023611872.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266026), mRNA
>XM_023611873.1 Rhizopus microsporus ATCC 52813 cyclin-domain-containing protein (RHIMIDRAFT_266031), mRNA
>XM_023611874.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266069), mRNA
>XM_023611875.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266096), mRNA
>XM_023611876.1 Rhizopus microsporus ATCC 52813 mitochondrial import inner membrane translocase, subunit Tim17/22 (RHIMIDRAFT_266115), mRNA
>XM_023611877.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266121), mRNA
>XM_023611878.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266124), mRNA
>XM_023611879.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266144), mRNA
>XM_023611880.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266154), mRNA
>XM_023611881.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266181), partial mRNA
>XM_023611882.1 Rhizopus microsporus ATCC 52813 Pkinase-domain-containing protein (RHIMIDRAFT_266182), mRNA
>XM_023611883.1 Rhizopus microsporus ATCC 52813 cobalamin-independent methionine synthase (RHIMIDRAFT_266186), mRNA
>XM_023611884.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266189), partial mRNA
>XM_023611885.1 Rhizopus microsporus ATCC 52813 MFS general substrate transporter (RHIMIDRAFT_266192), mRNA
>XM_023611886.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266198), mRNA
>XM_023611887.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266201), mRNA
>XM_023611888.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266202), mRNA
>XM_023611889.1 Rhizopus microsporus ATCC 52813 WD40 repeat-like protein (RHIMIDRAFT_266207), mRNA
>XM_023611890.1 Rhizopus microsporus ATCC 52813 ras-domain-containing protein (RHIMIDRAFT_266210), mRNA
>XM_023611891.1 Rhizopus microsporus ATCC 52813 Dihydropteroate synthase (RHIMIDRAFT_266232), mRNA
>XM_023611892.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266233), mRNA
>XM_023611893.1 Rhizopus microsporus ATCC 52813 OPT superfamily oligopeptide transporter (RHIMIDRAFT_266262), mRNA
>XM_023611894.1 Rhizopus microsporus ATCC 52813 MFS general substrate transporter (RHIMIDRAFT_266268), mRNA
>XM_023611895.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266271), mRNA
>XM_023611896.1 Rhizopus microsporus ATCC 52813 18S rRNA biogenesis protein (RHIMIDRAFT_266273), mRNA
>XM_023611897.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266281), mRNA
>XM_023611898.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266286), mRNA
>XM_023611899.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266287), mRNA
>XM_023611900.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_26630), mRNA
>XM_023611901.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266321), mRNA
>XM_023611902.1 Rhizopus microsporus ATCC 52813 MFS general substrate transporter (RHIMIDRAFT_266326), mRNA
>XM_023611903.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266340), mRNA
>XM_023611904.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266365), mRNA
>XM_023611905.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266368), mRNA
>XM_023611906.1 Rhizopus microsporus ATCC 52813 kinesin-domain-containing protein (RHIMIDRAFT_266382), mRNA
>XM_023611907.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266416), mRNA
>XM_023611908.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266462), mRNA
>XM_023611909.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266464), mRNA
>XM_023611910.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266469), mRNA
>XM_023611911.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266485), mRNA
>XM_023611912.1 Rhizopus microsporus ATCC 52813 WD40 repeat-like protein (RHIMIDRAFT_266488), mRNA
>XM_023611913.1 Rhizopus microsporus ATCC 52813 SWIB-domain-containing protein (RHIMIDRAFT_266498), mRNA
>XM_023611914.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266514), mRNA
>XM_023611915.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266515), mRNA
>XM_023611916.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266528), mRNA
>XM_023611917.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266530), mRNA
>XM_023611918.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266571), partial mRNA
>XM_023611919.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266586), mRNA
>XM_023611920.1 Rhizopus microsporus ATCC 52813 ATP11-domain-containing protein (RHIMIDRAFT_266591), mRNA
>XM_023611921.1 Rhizopus microsporus ATCC 52813 ferritin (RHIMIDRAFT_266607), mRNA
>XM_023611922.1 Rhizopus microsporus ATCC 52813 ketopantoate hydroxymethyltransferase (RHIMIDRAFT_266611), mRNA
>XM_023611923.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266613), mRNA
>XM_023611924.1 Rhizopus microsporus ATCC 52813 DnaJ-domain-containing protein (RHIMIDRAFT_266615), mRNA
>XM_023611925.1 Rhizopus microsporus ATCC 52813 S-adenosyl-L-methionine-dependent methyltransferase (RHIMIDRAFT_266626), mRNA
>XM_023611926.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266630), mRNA
>XM_023611927.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266643), mRNA
>XM_023611928.1 Rhizopus microsporus ATCC 52813 WD40 repeat-like protein (RHIMIDRAFT_266647), mRNA
>XM_023611929.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266661), mRNA
>XM_023611930.1 Rhizopus microsporus ATCC 52813 thioesterase family protein (RHIMIDRAFT_266662), mRNA
>XM_023611931.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266667), partial mRNA
>XM_023611932.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266672), mRNA
>XM_023611933.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266673), mRNA
>XM_023611934.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266677), mRNA
>XM_023611935.1 Rhizopus microsporus ATCC 52813 squalene synthase (RHIMIDRAFT_266698), mRNA
>XM_023611936.1 Rhizopus microsporus ATCC 52813 DnaJ-domain-containing protein (RHIMIDRAFT_266705), mRNA
>XM_023611937.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266714), mRNA
>XM_023611938.1 Rhizopus microsporus ATCC 52813 RPB5 subunit of DNA-directed RNA polymerase (RHIMIDRAFT_266727), mRNA
>XM_023611939.1 Rhizopus microsporus ATCC 52813 P-loop containing nucleoside triphosphate hydrolase protein (RHIMIDRAFT_266733), mRNA
>XM_023611940.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266735), mRNA
>XM_023611941.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266739), mRNA
>XM_023611942.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266755), mRNA
>XM_023611943.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266757), mRNA
>XM_023611944.1 Rhizopus microsporus ATCC 52813 acetyl-CoA synthetase-like protein (RHIMIDRAFT_266765), mRNA
>XM_023611945.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266773), mRNA
>XM_023611946.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266790), mRNA
>XM_023611947.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266793), mRNA
>XM_023611948.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266818), mRNA
>XM_023611949.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266822), mRNA
>XM_023611950.1 Rhizopus microsporus ATCC 52813 amino acid transporter (RHIMIDRAFT_266843), mRNA
>XM_023611951.1 Rhizopus microsporus ATCC 52813 WD40 repeat-like protein (RHIMIDRAFT_266857), mRNA
>XM_023611952.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266868), mRNA
>XM_023611953.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266873), mRNA
>XM_023611954.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_266876), partial mRNA
>XM_023611955.1 Rhizopus microsporus ATCC 52813 FAD/NAD(P)-binding domain-containing protein (RHIMIDRAFT_266933), mRNA
>XM_023611956.1 Rhizopus microsporus ATCC 52813 homeobox-domain-containing protein (RHIMIDRAFT_267003), mRNA
>XM_023611957.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267011), mRNA
>XM_023611958.1 Rhizopus microsporus ATCC 52813 Bromodomain-containing protein (RHIMIDRAFT_267016), partial mRNA
>XM_023611959.1 Rhizopus microsporus ATCC 52813 ARM repeat-containing protein (RHIMIDRAFT_267033), mRNA
>XM_023611960.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267038), mRNA
>XM_023611961.1 Rhizopus microsporus ATCC 52813 vacuolar protein sorting vps16 (RHIMIDRAFT_267040), mRNA
>XM_023611962.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267065), mRNA
>XM_023611963.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267073), partial mRNA
>XM_023611964.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267090), mRNA
>XM_023611965.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267092), mRNA
>XM_023611966.1 Rhizopus microsporus ATCC 52813 kinase-like protein (RHIMIDRAFT_267095), mRNA
>XM_023611967.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267097), partial mRNA
>XM_023611968.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267105), mRNA
>XM_023611969.1 Rhizopus microsporus ATCC 52813 AAA-domain-containing protein (RHIMIDRAFT_267111), mRNA
>XM_023611970.1 Rhizopus microsporus ATCC 52813 coth-domain-containing protein (RHIMIDRAFT_267113), mRNA
>XM_023611971.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267119), mRNA
>XM_023611972.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267124), mRNA
>XM_023611973.1 Rhizopus microsporus ATCC 52813 kinase-like protein (RHIMIDRAFT_267126), mRNA
>XM_023611974.1 Rhizopus microsporus ATCC 52813 Aldo/keto reductase (RHIMIDRAFT_267128), mRNA
>XM_023611975.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267130), mRNA
>XM_023611976.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267174), mRNA
>XM_023611977.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267175), mRNA
>XM_023611978.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267176), mRNA
>XM_023611979.1 Rhizopus microsporus ATCC 52813 P-loop containing nucleoside triphosphate hydrolase protein (RHIMIDRAFT_267184), mRNA
>XM_023611980.1 Rhizopus microsporus ATCC 52813 S-adenosyl-L-methionine-dependent methyltransferase (RHIMIDRAFT_267191), mRNA
>XM_023611981.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267198), mRNA
>XM_023611982.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267209), mRNA
>XM_023611983.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267212), mRNA
>XM_023611984.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267230), mRNA
>XM_023611985.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267294), mRNA
>XM_023611986.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267305), mRNA
>XM_023611987.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267306), partial mRNA
>XM_023611988.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267318), mRNA
>XM_023611989.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267352), mRNA
>XM_023611990.1 Rhizopus microsporus ATCC 52813 ribosomal protein L6 (RHIMIDRAFT_267355), mRNA
>XM_023611991.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267366), mRNA
>XM_023611992.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267392), mRNA
>XM_023611993.1 Rhizopus microsporus ATCC 52813 DNA repair protein (RHIMIDRAFT_267398), mRNA
>XM_023611994.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267400), partial mRNA
>XM_023611995.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267401), mRNA
>XM_023611996.1 Rhizopus microsporus ATCC 52813 mitochondrial carrier (RHIMIDRAFT_267405), mRNA
>XM_023611997.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267409), mRNA
>XM_023611998.1 Rhizopus microsporus ATCC 52813 SET domain-containing protein (RHIMIDRAFT_267415), mRNA
>XM_023611999.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267421), mRNA
>XM_023612000.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267424), mRNA
>XM_023612001.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267431), mRNA
>XM_023612002.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267442), mRNA
>XM_023612003.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267526), mRNA
>XM_023612004.1 Rhizopus microsporus ATCC 52813 beta-lactamase/transpeptidase-like protein (RHIMIDRAFT_267538), mRNA
>XM_023612005.1 Rhizopus microsporus ATCC 52813 zf-PARP-domain-containing protein (RHIMIDRAFT_267540), partial mRNA
>XM_023612006.1 Rhizopus microsporus ATCC 52813 fumble (RHIMIDRAFT_267552), mRNA
>XM_023612007.1 Rhizopus microsporus ATCC 52813 cysteine proteinase (RHIMIDRAFT_267593), partial mRNA
>XM_023612008.1 Rhizopus microsporus ATCC 52813 putative peroxisomal dehydratase (RHIMIDRAFT_267596), mRNA
>XM_023612009.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267620), mRNA
>XM_023612010.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267645), partial mRNA
>XM_023612011.1 Rhizopus microsporus ATCC 52813 acyl-CoA N-acyltransferase (RHIMIDRAFT_267648), mRNA
>XM_023612012.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267661), mRNA
>XM_023612013.1 Rhizopus microsporus ATCC 52813 tRNA pseudouridine synthase D (RHIMIDRAFT_267673), mRNA
>XM_023612014.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267686), mRNA
>XM_023612015.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267692), mRNA
>XM_023612016.1 Rhizopus microsporus ATCC 52813 dihydroxy-acid dehydratase (RHIMIDRAFT_267694), mRNA
>XM_023612017.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267705), mRNA
>XM_023612018.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267720), mRNA
>XM_023612019.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267725), mRNA
>XM_023612020.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267727), partial mRNA
>XM_023612021.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267745), mRNA
>XM_023612022.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267765), mRNA
>XM_023612023.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267773), mRNA
>XM_023612024.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267777), mRNA
>XM_023612025.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267780), mRNA
>XM_023612026.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267824), mRNA
>XM_023612027.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267831), mRNA
>XM_023612028.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267836), mRNA
>XM_023612029.1 Rhizopus microsporus ATCC 52813 small-subunit processome (RHIMIDRAFT_267844), mRNA
>XM_023612030.1 Rhizopus microsporus ATCC 52813 Dbl homology domain-containing protein (RHIMIDRAFT_267856), mRNA
>XM_023612031.1 Rhizopus microsporus ATCC 52813 SART-1 protein (RHIMIDRAFT_267860), mRNA
>XM_023612032.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267861), mRNA
>XM_023612033.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267882), partial mRNA
>XM_023612034.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267884), partial mRNA
>XM_023612035.1 Rhizopus microsporus ATCC 52813 RNI-like protein (RHIMIDRAFT_267886), mRNA
>XM_023612036.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267887), mRNA
>XM_023612037.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267918), mRNA
>XM_023612038.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267922), partial mRNA
>XM_023612039.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267935), partial mRNA
>XM_023612040.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267941), partial mRNA
>XM_023612041.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267945), partial mRNA
>XM_023612042.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267962), mRNA
>XM_023612043.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_267984), partial mRNA
>XM_023612044.1 Rhizopus microsporus ATCC 52813 Skb1 methyltransferase (RHIMIDRAFT_268011), mRNA
>XM_023612045.1 Rhizopus microsporus ATCC 52813 DUF1742-domain-containing protein (RHIMIDRAFT_268012), mRNA
>XM_023612046.1 Rhizopus microsporus ATCC 52813 CP2-domain-containing protein (RHIMIDRAFT_268030), mRNA
>XM_023612047.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_268033), mRNA
>XM_023612048.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_268043), mRNA
>XM_023612049.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_268046), mRNA
>XM_023612050.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_268049), partial mRNA
>XM_023612051.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_268105), mRNA
>XM_023612052.1 Rhizopus microsporus ATCC 52813 MFS general substrate transporter (RHIMIDRAFT_268141), mRNA
>XM_023612053.1 Rhizopus microsporus ATCC 52813 uncharacterized protein (RHIMIDRAFT_268158), mRNA
